Depth,Oxygen
1.394,7.49855
1.5,7.504469999999999
1.337,7.50508
1.606,7.50565
1.4509999999999998,7.50595
1.5,7.50655
1.4509999999999998,7.506939999999998
1.4509999999999998,7.50208
1.493,7.50205
1.4509999999999998,7.5072199999999984
1.5,7.501989999999998
1.5,7.501530000000002
1.4509999999999998,7.5011199999999985
1.493,7.506369999999999
1.5,7.50156
1.4509999999999998,7.50662
1.5,7.507160000000002
1.5,7.50767
1.443,7.5081
1.5,7.508269999999999
1.4509999999999998,7.50287
1.5,7.507789999999999
1.5,7.50818
1.493,7.50282
1.4509999999999998,7.5075
1.5,7.507989999999999
1.4509999999999998,7.508539999999999
1.5,7.503539999999999
1.443,7.49735
1.5,7.49605
1.4509999999999998,7.50017
1.5,7.50519
1.4509999999999998,7.505339999999999
1.443,7.50563
1.5,7.50598
1.4509999999999998,7.50604
1.4509999999999998,7.50076
1.4509999999999998,7.50008
1.493,7.50485
1.4509999999999998,7.504860000000001
1.4509999999999998,7.504939999999999
1.4509999999999998,7.499460000000001
1.4509999999999998,7.4985
1.443,7.503239999999999
1.4509999999999998,7.49787
1.4509999999999998,7.5024
1.4509999999999998,7.5022
1.4509999999999998,7.50208
1.3869999999999998,7.50191
1.4509999999999998,7.50178
1.4509999999999998,7.49702
1.4509999999999998,7.49695
1.4509999999999998,7.496860000000002
1.443,7.497000000000001
1.4509999999999998,7.5026100000000016
1.394,7.498089999999999
1.4509999999999998,7.49723
1.5,7.49628
1.337,7.49604
1.5,7.495389999999999
1.394,7.49447
1.4509999999999998,7.49927
1.5,7.50018
1.394,7.494639999999999
1.443,7.49487
1.394,7.48946
1.4509999999999998,7.48872
1.4509999999999998,7.488010000000001
1.4509999999999998,7.4927800000000016
1.3869999999999998,7.49212
1.4509999999999998,7.49248
1.4509999999999998,7.4981
1.4509999999999998,7.498289999999999
1.394,7.49943
1.493,7.5007100000000015
1.394,7.501639999999999
1.4509999999999998,7.49662
1.4509999999999998,7.48965
1.394,7.49255
1.493,7.49193
1.394,7.49753
1.4509999999999998,7.49857
1.4509999999999998,7.49954
1.4509999999999998,7.49511
1.3869999999999998,7.49528
1.4509999999999998,7.494910000000001
1.4509999999999998,7.49437
1.4509999999999998,7.494639999999999
1.4509999999999998,7.49494
1.3869999999999998,7.50063
1.4509999999999998,7.49564
1.4509999999999998,7.495260000000001
1.4509999999999998,7.495719999999999
1.4509999999999998,7.495389999999999
1.443,7.4959
1.4509999999999998,7.49638
1.4509999999999998,7.49685
1.394,7.49718
1.4509999999999998,7.49764
1.493,7.5026899999999985
1.4509999999999998,7.49765
1.394,7.4973
1.5,7.49711
1.394,7.492139999999999
1.443,7.496539999999999
1.4509999999999998,7.49626
1.5,7.49602
1.4509999999999998,7.495719999999999
1.4509999999999998,7.49546
1.443,7.4953
1.4509999999999998,7.495939999999999
1.4509999999999998,7.496639999999998
1.5,7.50195
1.4509999999999998,7.502439999999999
1.3869999999999998,7.502089999999999
1.4509999999999998,7.501810000000001
1.5,7.49605
1.4509999999999998,7.50097
1.4509999999999998,7.501410000000001
1.443,7.501889999999999
1.4509999999999998,7.497719999999998
1.5,7.49817
1.4509999999999998,7.4984899999999985
1.4509999999999998,7.49883
1.3869999999999998,7.4992100000000015
1.5,7.49905
1.4509999999999998,7.503360000000002
1.5,7.50391
1.4509999999999998,7.504339999999999
1.4509999999999998,7.500089999999998
1.443,7.4950199999999985
